nitrogen,phosphorus,potassium,crop_type,soil_type,crop_type_enc,soil_type_enc,n_deficiency,p_deficiency,k_deficiency,recommended_fertilizer,quantity_kg_per_acre
84.6,95.8,24.3,Sugarcane,Clayey,4,1,3,3,1,MOP,16.5
189.1,81.8,16.1,Pulses,Loamy,7,0,3,3,1,MOP,19.2
58.1,79.2,124.6,Rice,Clayey,1,1,2,3,3,NPK_Complex,39.9
95.5,26.6,134.0,Pulses,Sandy,7,2,3,2,3,NPK_Complex,40.4
150.1,53.7,103.6,Maize,Loamy,2,0,3,3,3,Urea,41.5
135.2,81.2,20.3,Millets,Sandy,6,2,3,3,1,MOP,15.5
83.6,48.9,148.8,Cotton,Loamy,3,0,3,3,3,Organic_Compost,432.4
45.2,21.5,19.3,Millets,Sandy,6,2,2,2,1,MOP,24.9
60.4,7.0,16.9,Pulses,Saline,7,3,2,1,1,SSP,98.7
156.2,64.3,60.4,Millets,Saline,6,3,3,3,3,DAP,30.3
59.5,11.6,144.2,Cotton,Clayey,3,1,2,1,3,SSP,79.1
71.2,16.9,73.8,Millets,Clayey,6,1,3,1,3,SSP,64.6
184.9,54.5,94.4,Sugarcane,Loamy,4,0,3,3,3,DAP,33.8
186.3,26.3,59.0,Millets,Loamy,6,0,3,2,2,NPK_Complex,41.0
41.1,31.0,139.6,Rice,Loamy,1,0,2,2,3,NPK_Complex,43.5
12.4,99.3,102.4,Maize,Clayey,2,1,1,3,3,Urea,52.7
59.1,56.7,97.2,Millets,Loamy,6,0,2,3,3,NPK_Complex,34.4
152.2,58.0,31.2,Barley,Saline,5,3,3,3,2,Organic_Compost,253.2
197.1,94.1,11.3,Barley,Clayey,5,1,3,3,1,MOP,17.5
147.9,82.7,36.0,Sugarcane,Loamy,4,0,3,3,2,NPK_Complex,33.0
88.5,77.0,112.8,Cotton,Loamy,3,0,3,3,3,NPK_Complex,36.0
140.9,88.0,97.3,Maize,Sandy,2,2,3,3,3,Organic_Compost,330.1
116.0,82.1,112.5,Pulses,Clayey,7,1,3,3,3,NPK_Complex,49.8
86.3,81.0,34.6,Pulses,Sandy,7,2,3,3,2,DAP,52.3
126.8,70.3,59.4,Barley,Sandy,5,2,3,3,2,Urea,62.2
154.6,8.4,113.1,Barley,Clayey,5,1,3,1,3,SSP,68.1
79.9,36.1,26.6,Rice,Loamy,1,0,3,2,1,MOP,19.6
199.3,40.0,70.0,Pulses,Sandy,7,2,3,2,3,Organic_Compost,434.1
36.2,68.0,5.3,Barley,Sandy,5,2,1,3,1,Urea,47.1
41.7,22.2,61.2,Rice,Clayey,1,1,2,2,3,NPK_Complex,38.0
106.9,73.7,20.1,Millets,Saline,6,3,3,3,1,MOP,18.4
20.0,51.2,91.9,Cotton,Saline,3,3,1,3,3,Urea,64.1
71.2,65.5,26.6,Cotton,Saline,3,3,3,3,1,MOP,25.4
196.6,24.9,124.6,Cotton,Clayey,3,1,3,2,3,NPK_Complex,38.8
72.4,46.2,17.8,Cotton,Clayey,3,1,3,3,1,MOP,18.3
149.8,99.8,140.3,Maize,Saline,2,3,3,3,3,Urea,46.9
104.3,21.9,104.5,Barley,Saline,5,3,3,2,3,NPK_Complex,46.8
118.7,60.8,31.7,Maize,Sandy,2,2,3,3,2,Urea,79.2
143.0,60.7,90.0,Maize,Loamy,2,0,3,3,3,DAP,45.5
188.7,29.6,67.3,Sugarcane,Sandy,4,2,3,2,3,NPK_Complex,37.5
101.4,46.3,140.9,Pulses,Loamy,7,0,3,3,3,Organic_Compost,240.0
148.3,52.2,68.3,Cotton,Clayey,3,1,3,3,3,Urea,40.3
52.8,17.5,62.8,Wheat,Clayey,0,1,2,1,3,SSP,96.9
12.5,31.9,11.5,Wheat,Saline,0,3,1,2,1,Urea,41.5
62.4,79.8,146.4,Millets,Sandy,6,2,2,3,3,NPK_Complex,37.4
170.5,30.5,27.7,Millets,Clayey,6,1,3,2,1,MOP,27.8
127.7,58.4,55.2,Maize,Saline,2,3,3,3,2,DAP,42.3
181.0,7.1,101.2,Millets,Clayey,6,1,3,1,3,SSP,98.5
188.0,10.0,65.7,Millets,Saline,6,3,3,1,3,SSP,70.4
196.4,29.4,99.9,Wheat,Loamy,0,0,3,2,3,DAP,35.7
68.7,95.0,145.3,Wheat,Sandy,0,2,2,3,3,NPK_Complex,33.7
146.8,44.7,17.9,Wheat,Clayey,0,1,3,3,1,MOP,25.3
196.3,26.6,63.6,Wheat,Loamy,0,0,3,2,3,NPK_Complex,31.4
113.3,12.8,71.5,Barley,Loamy,5,0,3,1,3,SSP,79.4
189.7,85.7,102.0,Sugarcane,Loamy,4,0,3,3,3,DAP,55.9
152.4,32.6,119.1,Maize,Loamy,2,0,3,2,3,DAP,54.2
19.9,79.7,34.2,Rice,Sandy,1,2,1,3,2,Urea,50.3
72.7,76.9,80.3,Cotton,Clayey,3,1,3,3,3,Organic_Compost,237.9
40.7,29.3,142.3,Millets,Clayey,6,1,2,2,3,NPK_Complex,41.2
116.0,57.5,18.7,Cotton,Clayey,3,1,3,3,1,MOP,20.2
84.2,80.8,58.9,Cotton,Loamy,3,0,3,3,2,NPK_Complex,46.4
157.4,96.6,34.5,Rice,Sandy,1,2,3,3,2,DAP,32.8
153.9,31.3,50.3,Cotton,Saline,3,3,3,2,2,Urea,55.8
111.3,20.0,105.9,Pulses,Clayey,7,1,3,2,3,Organic_Compost,249.8
79.0,90.2,29.5,Pulses,Sandy,7,2,3,3,1,MOP,22.6
16.3,39.6,111.2,Cotton,Loamy,3,0,1,2,3,Urea,72.8
161.7,96.9,129.2,Sugarcane,Saline,4,3,3,3,3,Urea,72.1
193.8,44.7,147.7,Barley,Sandy,5,2,3,3,3,Urea,69.0
199.4,98.1,100.1,Rice,Saline,1,3,3,3,3,Organic_Compost,203.8
110.2,73.3,134.1,Wheat,Sandy,0,2,3,3,3,DAP,41.4
74.0,33.2,138.1,Maize,Loamy,2,0,3,2,3,DAP,51.3
99.5,83.1,71.6,Cotton,Loamy,3,0,3,3,3,Urea,50.2
177.2,54.9,40.4,Barley,Sandy,5,2,3,3,2,Organic_Compost,447.8
55.6,18.5,55.5,Barley,Loamy,5,0,2,1,2,SSP,78.0
133.7,64.0,56.1,Rice,Sandy,1,2,3,3,2,Urea,72.2
58.3,8.0,112.2,Barley,Sandy,5,2,2,1,3,SSP,64.3
10.7,69.8,29.2,Maize,Saline,2,3,1,3,1,Urea,66.2
23.8,12.3,54.4,Wheat,Saline,0,3,1,1,2,DAP,56.0
78.5,11.5,115.7,Millets,Clayey,6,1,3,1,3,SSP,76.3
181.7,27.1,122.1,Cotton,Clayey,3,1,3,2,3,Organic_Compost,399.5
182.4,68.7,86.3,Rice,Sandy,1,2,3,3,3,NPK_Complex,37.8
53.1,41.3,23.7,Barley,Clayey,5,1,2,3,1,MOP,21.2
101.0,6.7,66.1,Millets,Clayey,6,1,3,1,3,SSP,61.1
34.2,72.2,146.1,Barley,Sandy,5,2,1,3,3,Urea,73.0
169.5,98.3,95.1,Maize,Loamy,2,0,3,3,3,Urea,52.2
63.5,87.9,21.3,Millets,Loamy,6,0,2,3,1,MOP,25.6
28.3,28.0,6.8,Sugarcane,Saline,4,3,1,2,1,Urea,58.8
123.7,33.2,48.5,Wheat,Clayey,0,1,3,2,2,DAP,48.0
176.7,88.3,52.9,Maize,Saline,2,3,3,3,2,DAP,56.8
25.0,27.8,120.2,Millets,Sandy,6,2,1,2,3,Urea,41.4
199.1,86.3,80.6,Maize,Sandy,2,2,3,3,3,Urea,50.1
102.8,75.1,81.2,Sugarcane,Sandy,4,2,3,3,3,Urea,66.8
177.0,59.3,80.0,Wheat,Clayey,0,1,3,3,3,NPK_Complex,31.6
98.2,18.1,54.4,Barley,Saline,5,3,3,1,2,SSP,66.6
190.1,47.3,119.4,Barley,Saline,5,3,3,3,3,NPK_Complex,34.7
29.8,41.5,75.7,Millets,Saline,6,3,1,3,3,Urea,66.1
124.1,75.6,78.4,Rice,Saline,1,3,3,3,3,NPK_Complex,38.1
10.6,8.8,92.6,Barley,Loamy,5,0,1,1,3,DAP,57.2
99.2,47.8,73.6,Maize,Saline,2,3,3,3,3,NPK_Complex,33.9
63.3,24.7,79.9,Maize,Saline,2,3,2,2,3,NPK_Complex,30.1
51.6,8.5,20.7,Barley,Loamy,5,0,2,1,1,SSP,73.6
118.7,53.7,47.6,Sugarcane,Loamy,4,0,3,3,2,DAP,38.3
64.1,82.7,82.1,Pulses,Loamy,7,0,2,3,3,NPK_Complex,47.6
15.6,69.2,11.5,Millets,Loamy,6,0,1,3,1,Urea,58.0
41.4,42.0,110.8,Millets,Clayey,6,1,2,3,3,NPK_Complex,47.6
59.1,69.1,48.0,Sugarcane,Loamy,4,0,2,3,2,NPK_Complex,44.4
147.1,87.0,5.3,Cotton,Clayey,3,1,3,3,1,MOP,25.8
17.7,87.8,42.2,Millets,Sandy,6,2,1,3,2,Urea,66.6
135.9,13.8,91.5,Wheat,Sandy,0,2,3,1,3,SSP,82.0
86.8,35.5,113.7,Wheat,Loamy,0,0,3,2,3,DAP,50.1
78.8,61.4,6.5,Wheat,Clayey,0,1,3,3,1,MOP,24.5
126.4,88.0,110.0,Barley,Loamy,5,0,3,3,3,NPK_Complex,44.8
167.5,99.2,123.9,Sugarcane,Clayey,4,1,3,3,3,Urea,56.9
102.3,59.8,11.3,Maize,Sandy,2,2,3,3,1,MOP,16.8
75.2,74.3,99.6,Wheat,Sandy,0,2,3,3,3,Organic_Compost,316.2
86.7,12.4,83.7,Maize,Clayey,2,1,3,1,3,SSP,94.5
53.0,41.5,70.3,Barley,Saline,5,3,2,3,3,NPK_Complex,41.6
28.8,89.5,6.8,Wheat,Sandy,0,2,1,3,1,Urea,54.8
84.7,55.0,79.2,Barley,Saline,5,3,3,3,3,Organic_Compost,329.2
179.1,37.9,27.4,Cotton,Loamy,3,0,3,2,1,MOP,15.4
131.0,37.4,15.4,Cotton,Clayey,3,1,3,2,1,MOP,21.1
138.7,62.5,57.9,Wheat,Loamy,0,0,3,3,2,Organic_Compost,374.1
30.0,20.9,145.9,Barley,Loamy,5,0,1,2,3,Urea,49.1
111.1,17.9,19.4,Pulses,Sandy,7,2,3,1,1,SSP,68.4
88.7,42.6,50.4,Maize,Saline,2,3,3,3,2,Urea,58.3
181.0,16.0,143.6,Barley,Clayey,5,1,3,1,3,SSP,72.6
124.6,83.5,147.7,Millets,Clayey,6,1,3,3,3,Urea,64.3
15.9,97.2,117.2,Barley,Saline,5,3,1,3,3,Urea,79.2
111.1,21.0,40.8,Wheat,Loamy,0,0,3,2,2,NPK_Complex,38.8
59.3,23.5,13.4,Rice,Clayey,1,1,2,2,1,MOP,20.1
193.6,58.0,55.4,Cotton,Loamy,3,0,3,3,2,Organic_Compost,374.9
38.6,82.6,35.1,Sugarcane,Sandy,4,2,1,3,2,Urea,71.3
67.1,36.0,119.9,Maize,Saline,2,3,2,2,3,NPK_Complex,39.2
38.1,86.0,108.1,Millets,Loamy,6,0,1,3,3,Urea,76.3
122.7,61.9,56.3,Millets,Saline,6,3,3,3,2,NPK_Complex,47.4
160.2,16.9,120.2,Sugarcane,Clayey,4,1,3,1,3,SSP,71.0
189.4,19.1,72.1,Barley,Clayey,5,1,3,1,3,SSP,99.2
174.1,60.9,59.4,Cotton,Saline,3,3,3,3,2,DAP,45.7
93.8,62.5,138.2,Barley,Saline,5,3,3,3,3,NPK_Complex,41.5
196.3,43.7,125.0,Maize,Loamy,2,0,3,3,3,NPK_Complex,41.8
100.5,99.6,13.6,Millets,Loamy,6,0,3,3,1,MOP,15.0
66.7,27.8,50.2,Wheat,Loamy,0,0,2,2,2,NPK_Complex,35.1
194.6,26.0,111.4,Sugarcane,Loamy,4,0,3,2,3,DAP,44.3
147.3,70.8,24.5,Sugarcane,Clayey,4,1,3,3,1,MOP,19.5
162.8,31.5,35.6,Pulses,Saline,7,3,3,2,2,Urea,71.7
48.1,99.5,18.0,Maize,Sandy,2,2,2,3,1,MOP,15.0
74.9,65.1,15.0,Maize,Loamy,2,0,3,3,1,MOP,15.1
166.2,81.9,133.2,Pulses,Loamy,7,0,3,3,3,NPK_Complex,42.3
102.6,12.4,64.1,Pulses,Sandy,7,2,3,1,3,SSP,76.3
76.3,15.5,122.2,Barley,Sandy,5,2,3,1,3,SSP,97.9
191.5,54.6,48.4,Rice,Loamy,1,0,3,3,2,Organic_Compost,233.9
56.0,50.4,26.1,Rice,Clayey,1,1,2,3,1,MOP,25.7
50.1,87.0,63.2,Pulses,Sandy,7,2,2,3,3,NPK_Complex,35.9
60.6,7.1,89.6,Pulses,Clayey,7,1,2,1,3,SSP,93.7
51.7,8.2,36.1,Wheat,Loamy,0,0,2,1,2,SSP,76.6
45.7,73.4,130.7,Wheat,Clayey,0,1,2,3,3,NPK_Complex,39.1
115.4,65.5,81.3,Cotton,Saline,3,3,3,3,3,DAP,51.4
162.8,57.5,80.4,Cotton,Loamy,3,0,3,3,3,Urea,76.7
86.3,20.1,132.9,Pulses,Clayey,7,1,3,2,3,Organic_Compost,388.9
152.2,35.2,5.0,Maize,Loamy,2,0,3,2,1,MOP,22.7
62.5,72.2,14.1,Rice,Clayey,1,1,2,3,1,MOP,27.6
56.9,75.4,50.9,Wheat,Clayey,0,1,2,3,2,NPK_Complex,32.0
61.4,85.1,50.4,Wheat,Sandy,0,2,2,3,2,NPK_Complex,45.8
